Rank,Water Year,Date,Time,Stage (m),Flow (m3/s),Rating,Source,Ref,Comments
,1971-1972,07/03/1972,00:00,0.265,0.568,In Range,CEH POTs 27/02/87,2[migrated]_1,"Stage, Datum 0.00, Threshold level=0.264m"
37.0,1972-1973,21/07/1973,00:00,0.36,1.242,In Range,CEH POTs 27/02/87,2[migrated]_2,"Stage, Datum 0.00, Threshold level=0.264m"
46.0,1973-1974,09/02/1974,00:00,0.269,0.59,In Range,CEH POTs 27/02/87,2[migrated]_1,"Stage, Datum 0.00, Threshold level=0.264m"
10.0,1974-1975,09/03/1975,00:00,0.53,3.305,In Range,CEH POTs 27/02/87,2[migrated]_3,"Stage, Datum 0.00, Threshold level=0.264m"
51.0,1975-1976,01/12/1975,00:00,0.184,0.227,In Range,CEH POTs 27/02/87,2[migrated]_1,"Stage, Datum 0.00, Threshold level=0.264m"
23.0,1976-1977,25/02/1977,00:00,0.423,1.883,In Range,CEH POTs 27/02/87,2[migrated]_2,"Stage, Datum 0.00, Threshold level=0.264m"
34.0,1977-1978,05/05/1978,00:00,0.385,1.479,In Range,CEH POTs 27/02/87,2[migrated]_2,"Stage, Datum 0.00, Threshold level=0.264m"
30.0,1978-1979,28/12/1978,00:00,0.391,1.539,In Range,CEH POTs 27/02/87,2[migrated]_2,"Stage, Datum 0.00, Threshold level=0.264m"
1.0,1979-1980,14/08/1980,00:00,0.775,7.823,In Range,CEH POTs 27/02/87,2[migrated]_3,"Stage, Datum 0.00, Threshold level=0.264m, in range peak"
16.0,1980-1981,26/04/1981,00:00,0.455,2.267,In Range,CEH POTs 27/02/87,2[migrated]_2,"Stage, Datum 0.00, Threshold level=0.264m"
2.0,1981-1982,25/06/1982,18:15,0.773,7.78,In Range,Digital Archive,2[migrated]_3,
9.0,1982-1983,01/06/1983,06:45,0.543,3.503,In Range,Digital Archive,2[migrated]_3,
35.0,1983-1984,24/03/1984,14:00,0.37,1.334,In Range,Digital Archive,2[migrated]_2,
36.0,1984-1985,21/01/1985,17:45,0.369,1.324,In Range,Digital Archive,2[migrated]_2,
22.0,1985-1986,16/04/1986,20:00,0.426,1.917,In Range,Digital Archive,2[migrated]_2,
24.0,1986-1987,07/04/1987,13:15,0.422,1.872,In Range,Digital Archive,2[migrated]_2,
11.0,1987-1988,24/01/1988,03:45,0.496,2.817,In Range,Digital Archive,2[migrated]_2,
41.0,1988-1989,05/04/1989,07:15,0.318,0.898,In Range,Digital Archive,2[migrated]_1,
17.0,1989-1990,07/02/1990,22:30,0.454,2.254,In Range,Digital Archive,2[migrated]_2,
38.0,1990-1991,27/02/1991,23:30,0.344,1.102,In Range,Digital Archive,2[migrated]_2,
14.0,1991-1992,23/09/1992,04:15,0.458,2.305,In Range,Digital Archive,2[migrated]_2,
7.0,1992-1993,13/01/1993,16:15,0.591,4.273,In Range,Digital Archive,2[migrated]_3,
32.0,1993-1994,12/12/1993,14:00,0.389,1.519,In Range,Digital Archive,2[migrated]_2,
17.0,1994-1995,26/01/1995,03:30,0.454,2.254,In Range,Digital Archive,2[migrated]_2,
47.0,1995-1996,09/01/1996,07:15,0.236,0.425,In Range,Digital Archive,2[migrated]_1,
44.0,1996-1997,03/07/1997,19:30,0.282,0.664,In Range,Digital Archive,2[migrated]_1,
4.0,1997-1998,10/04/1998,09:00,0.656,5.421,In Range,Digital Archive,2[migrated]_3,
6.0,1998-1999,25/12/1998,16:15,0.619,4.753,In Range,Digital Archive,2[migrated]_3,
21.0,1999-2000,28/05/2000,08:30,0.43,1.964,In Range,Digital Archive,2[migrated]_2,
13.0,2000-2001,06/11/2000,03:30,0.476,2.54,In Range,Digital Archive,2[migrated]_2,
19.0,2001-2002,26/01/2002,13:00,0.443,2.118,In Range,Digital Archive,2[migrated]_2,
5.0,2002-2003,15/10/2002,22:00,0.628,4.912,In Range,Digital Archive,2[migrated]_3,
3.0,2003-2004,09/08/2004,19:30,0.68,5.874,In Range,Digital Archive,2[migrated]_3,
25.0,2004-2005,23/10/2004,18:45,0.419,1.838,In Range,Digital Archive,2[migrated]_2,
49.0,2005-2006,30/12/2005,21:15,0.23,0.398,In Range,Digital Archive,2[migrated]_1,
8.0,2006-2007,20/07/2007,16:15,0.555,3.689,In Range,Digital Archive,2[migrated]_3,
26.0,2007-2008,16/03/2008,06:30,0.408,1.717,In Range,Digital Archive,2[migrated]_2,
42.0,2008-2009,05/10/2008,09:30,0.306,0.816,In Range,Digital Archive,2[migrated]_1,
45.0,2009-2010,16/01/2010,11:30,0.279,0.647,In Range,Digital Archive,2[migrated]_1,
48.0,2010-2011,26/02/2011,04:00,0.234,0.416,In Range,Digital Archive,2[migrated]_1,
27.0,2011-2012,29/04/2012,15:00,0.405,1.685,In Range,Digital Archive,2[migrated]_2,
12.0,2012-2013,27/01/2013,00:45,0.496,2.811,In Range,Digital Archive,2[migrated]_2,
31.0,2013-2014,28/10/2013,07:30,0.39,1.529,In Range,Digital Archive,2[migrated]_2,
43.0,2014-2015,17/11/2014,05:45,0.284,0.676,In Range,Digital Archive,2[migrated]_1,
20.0,2015-2016,09/03/2016,10:45,0.432,1.987,In Range,Digital Archive,2[migrated]_2,
15.0,2016-2017,21/11/2016,17:00,0.456,2.279,In Range,Digital Archive,2[migrated]_2,
28.0,2017-2018,10/04/2018,07:45,0.4,1.632,In Range,Digital Archive,2[migrated]_2,
39.0,2018-2019,12/06/2019,23:00,0.334,1.02,In Range,Digital Archive,2[migrated]_2,
29.0,2019-2020,16/02/2020,06:15,0.399,1.621,In Range,Digital Archive,2[migrated]_2,
50.0,2020-2021,09/07/2021,20:30,0.217,0.344,In Range,Digital Archive,2[migrated]_1,
33.0,2021-2022,16/03/2022,18:15,0.388,1.509,In Range,Digital Archive,2[migrated]_2,
40.0,2022-2023,17/11/2022,11:45,0.322,0.927,In Range,Digital Archive,2[migrated]_1,
