Rank,Date,Time,Stage (m),Flow (m3/s),Rating,Source,Ref,Comments
1,21/01/2003,20:00,,10.71198611758804,,Generated POTs (thr=10.6635),,Min separation 5 days
2,11/05/2003,04:45,,10.779915173730592,,Generated POTs (thr=10.6635),,Min separation 5 days
3,11/08/2003,05:30,,10.664899926986926,,Generated POTs (thr=10.6635),,Min separation 5 days
4,19/08/2003,08:15,,11.38718194162283,,Generated POTs (thr=10.6635),,Min separation 5 days
5,09/09/2003,15:30,,10.70360248085538,,Generated POTs (thr=10.6635),,Min separation 5 days
6,06/10/2003,07:30,,15.626155745248308,,Generated POTs (thr=10.6635),,Min separation 5 days
7,29/11/2003,00:30,,11.166228820072742,,Generated POTs (thr=10.6635),,Min separation 5 days
8,05/12/2003,15:45,,11.188001224686191,,Generated POTs (thr=10.6635),,Min separation 5 days
9,18/12/2003,01:15,,6406.500193498246,,Generated POTs (thr=10.6635),,Min separation 5 days
10,14/01/2004,00:45,,6154.0,,Generated POTs (thr=10.6635),,Min separation 5 days
11,20/03/2004,20:00,,12.79713264296298,,Generated POTs (thr=10.6635),,Min separation 5 days
12,31/03/2004,19:45,,10.735128917893842,,Generated POTs (thr=10.6635),,Min separation 5 days
