Rank,Date,Time,Stage (m),Flow (m3/s),Rating,Source,Ref,Comments
269,19/10/1955,00:00,,1.486,,FEH,,
299,19/07/1957,00:00,,1.444,,FEH,,
154,26/06/1958,00:00,,1.699,,FEH,,
255,13/12/1958,00:00,,1.5,,FEH,,
165,22/11/1960,00:00,,1.67,,FEH,,
194,04/12/1960,00:00,,1.614,,FEH,,
191,20/12/1960,00:00,,1.628,,FEH,,
154,26/12/1960,00:00,,1.699,,FEH,,
94,27/02/1961,00:00,,1.897,,FEH,,
122,27/04/1961,00:00,,1.784,,FEH,,
165,02/05/1961,00:00,,1.67,,FEH,,
174,12/06/1961,00:00,,1.656,,FEH,,
278,21/01/1962,00:00,,1.472,,FEH,,
162,06/07/1963,00:00,,1.684,,FEH,,
249,21/04/1964,00:00,,1.529,,FEH,,
255,01/06/1964,00:00,,1.5,,FEH,,
165,04/06/1964,00:00,,1.67,,FEH,,
278,17/06/1964,00:00,,1.472,,FEH,,
292,19/06/1964,00:00,,1.458,,FEH,,
122,21/07/1964,00:00,,1.784,,FEH,,
255,11/05/1966,00:00,,1.5,,FEH,,
36,10/06/1966,00:00,,2.378,,FEH,,
15,22/06/1966,00:00,,3.057,,FEH,,
12,21/08/1966,00:00,,3.086,,FEH,,
214,27/02/1967,00:00,,1.585,,FEH,,
122,10/04/1967,00:00,,1.784,,FEH,,
319,05/05/1967,00:00,,1.416,,FEH,,
27,25/06/1967,00:00,,2.576,,FEH,,
53,22/07/1967,00:00,,2.194,,FEH,,
269,16/10/1967,00:00,,1.486,,FEH,,
299,04/05/1968,00:00,,1.444,,FEH,,
249,14/07/1968,00:00,,1.529,,FEH,,
5,15/09/1968,00:00,,3.539,,FEH,,
255,17/12/1968,00:00,,1.5,,FEH,,
154,28/01/1969,00:00,,1.699,,FEH,,
182,20/02/1969,00:00,,1.642,,FEH,,
98,12/03/1969,00:00,,1.868,,FEH,,
146,06/05/1969,00:00,,1.727,,FEH,,
52,02/08/1969,00:00,,2.208,,FEH,,
214,14/11/1969,00:00,,1.585,,FEH,,
255,23/03/1970,00:00,,1.5,,FEH,,
59,12/09/1970,00:00,,2.137,,FEH,,
151,14/11/1970,00:00,,1.709,,FEH,,
255,26/01/1971,00:00,,1.5,,FEH,,
46,06/12/1972,00:00,,2.278,In Range,FEH,1_3,
96,19/06/1973,00:00,,1.882,In Range,FEH,1_3,
107,06/07/1973,00:00,,1.839,In Range,FEH,1_3,
231,27/09/1974,00:00,,1.556,In Range,FEH,1_3,
68,20/11/1974,00:00,,2.038,In Range,FEH,1_3,
125,20/01/1975,00:00,,1.783,In Range,FEH,1_3,
183,19/04/1975,00:00,,1.641,In Range,FEH,1_3,
28,17/05/1975,00:00,,2.547,In Range,FEH,1_3,
157,23/06/1975,00:00,,1.698,In Range,FEH,1_3,
66,14/09/1975,00:00,,2.066,In Range,FEH,1_3,
231,27/09/1975,00:00,,1.556,In Range,FEH,1_3,
125,30/11/1976,00:00,,1.783,In Range,FEH,1_3,
136,24/02/1977,00:00,,1.755,In Range,FEH,1_3,
60,14/06/1977,00:00,,2.122,In Range,FEH,1_3,
214,17/08/1977,00:00,,1.585,In Range,FEH,1_3,
301,20/10/1977,00:00,,1.443,In Range,FEH,1_3,
77,11/01/1978,00:00,,1.981,In Range,FEH,1_3,
195,02/03/1978,00:00,,1.613,In Range,FEH,1_3,
21,05/05/1978,00:00,,2.717,In Range,FEH,1_3,
45,01/08/1978,00:00,,2.28,In Range,FEH,1_3,
88,06/08/1978,00:00,,1.919,In Range,FEH,1_3,
88,10/12/1978,00:00,,1.919,In Range,FEH,1_3,
298,02/04/1979,00:00,,1.449,In Range,FEH,1_3,
69,07/04/1979,00:00,,2.035,In Range,FEH,1_3,
205,10/04/1979,00:00,,1.596,In Range,FEH,1_3,
205,10/05/1979,00:00,,1.596,In Range,FEH,1_3,
205,20/05/1979,00:00,,1.596,In Range,FEH,1_3,
152,26/05/1979,00:00,,1.7,In Range,FEH,1_3,
6,30/05/1979,00:00,,3.525,In Range,FEH,1_3,
181,13/12/1979,00:00,,1.648,In Range,FEH,1_3,
18,27/12/1979,00:00,,2.823,In Range,FEH,1_3,
196,22/02/1980,00:00,,1.61,In Range,Hydpeaks,1_3,
113,14/03/1980,00:00,,1.81,In Range,Hydpeaks,1_3,
97,01/04/1980,00:00,,1.87,In Range,Hydpeaks,1_3,
310,12/05/1980,00:00,,1.43,In Range,Hydpeaks,1_3,
271,01/06/1980,00:00,,1.48,In Range,Hydpeaks,1_3,
57,29/07/1980,00:00,,2.14,In Range,Hydpeaks,1_3,
127,16/10/1980,00:00,,1.78,In Range,Hydpeaks,1_3,
233,15/05/1981,00:00,,1.55,In Range,Hydpeaks,1_3,
81,01/06/1981,00:00,,1.95,In Range,Hydpeaks,1_3,
79,06/08/1981,00:00,,1.97,In Range,Hydpeaks,1_3,
158,19/09/1981,00:00,,1.69,In Range,Hydpeaks,1_3,
70,27/05/1982,10:00,0.838,2.02,In Range,Digital Archive,1_3,
138,04/10/1982,15:15,0.788,1.74,In Range,Digital Archive,1_3,
225,22/10/1982,13:00,0.752,1.56,In Range,Digital Archive,1_3,
